rera_ids,far,number_of_towers,total_unit_count,1_5BHK_count,1BHK_count,1RK_count,2_5BHK_count,2BHK_count,3_5BHK_count,3BHK_count,4_5BHK_count,4BHK_count,5BHK_count,1_5BHK_mean_carpet_area,1BHK_mean_carpet_area,1RK_mean_carpet_area,2_5BHK_mean_carpet_area,2BHK_mean_carpet_area,3_5BHK_mean_carpet_area,3BHK_mean_carpet_area,4_5BHK_mean_carpet_area,4BHK_mean_carpet_area,5BHK_mean_carpet_area,cost_of_land_inr,district,latitude,longitude,project_completion_date,project_name,project_start_date,project_type,taluk,total_area_of_land_sqm,total_covered_area_sqm,total_open_area_sqm,total_project_cost_inr,area,product_type,1RK,1BHK,1_5BHK,2BHK,2_5BHK,3BHK,3_5BHK,4BHK,4_5BHK,5BHK,avg_price,airport_distance_kms,ksr_jn_distance_kms,yeshwantpur_jn_distance_kms,nearest_metro_dist_kms,nearest_metro_station,nearest_major_road_dist_kms,nearest_major_road,project_duration
PRM/KA/RERA/1251/310/PR/030225/007478,1.5,4.0,308,0.0,0.0,0.0,56.0,84.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,89.30499999999999,75.00333333333333,0.0,94.39666666666666,0.0,0.0,0.0,488946000,Bengaluru Urban,12.853604,77.59299,2030-12-31,GRC SAPPHIRE SPRING - PHASE -1,2024-12-06,Residential/Group Housing,Bengaluru South,10370,7052,3318,2730561000,Gottigere,Apartment,0,0,0,1,1,1,0,0,0,0,13.37,40.02371302756105,13.838906408709756,20.401067662939653,5.112544699794513,Konanakunte Cross,0.2470412793086787,NICE Peripheral Ring Road,6.067077344284736
PRM/KA/RERA/1251/308/PR/111124/007220,2.2498,3.0,346,0.0,2.0,0.0,70.0,112.0,0.0,162.0,0.0,0.0,0.0,0.0,65.2173913,0.0,83.26830175,69.76462546964285,0.0,95.76388602351852,0.0,0.0,0.0,398000000,Bengaluru Urban,12.8001152,77.7285945,2028-10-31,SIGNATURE HEIGHTS,2024-10-18,Residential/Group Housing,Anekal,20942,4222,16720,1718000000,Electronic City,Apartment,0,1,0,1,1,1,0,0,0,0,7.75,44.07353713268011,26.01526291116947,32.94625590728732,19.533096866872704,Nallurahalli,10.020555959115404,Hosur Road,4.035592060232717
PRM/KA/RERA/1251/446/PR/290722/005113,2.25,2.0,294,0.0,2.0,0.0,0.0,229.0,0.0,63.0,0.0,0.0,0.0,0.0,39.4373235,0.0,0.0,71.35112675982532,0.0,90.14687766666668,0.0,0.0,0.0,565658000,Bengaluru Urban,12.936414,77.724353,2026-12-15,SM ART,2022-05-20,Residential/Group Housing,Bengaluru East,13309,3252,10057,1867233000,Varthur,Apartment,0,1,0,1,0,1,0,0,0,0,8.1,28.994656816864964,17.29927282135504,23.037685239216945,4.450669238077447,Nallurahalli,3.06080826957078,Outer Ring Road,4.572210814510609
PRM/KA/RERA/1251/309/PR/260924/007084,1.852,6.0,2736,0.0,1438.0,0.0,0.0,1248.0,0.0,50.0,0.0,0.0,0.0,0.0,28.29561196105702,0.0,0.0,60.21358974358974,0.0,120.75,0.0,0.0,0.0,1337200000,Bengaluru Urban,13.14207796745474,77.67745129586544,2029-09-15,LivingTree by Kalyani Developers,2024-09-15,Residential/Group Housing,Bengaluru North,101171,7915,23680,9089700000,Bagalur,Apartment,0,1,0,1,0,1,0,0,0,0,8.65,6.92246549928002,21.674880328825783,19.98371185193676,15.729056178980697,Krishnarajapura,7.17700273733549,Bellary Road,4.999315537303217
PRM/KA/RERA/1250/304/PR/131224/007287,3.249,2.0,420,0.0,58.0,0.0,0.0,62.0,0.0,238.0,0.0,62.0,0.0,0.0,40.4,0.0,0.0,75.39,0.0,107.32327731092435,0.0,143.09,0.0,415125000,Bengaluru Rural,13.0529768,77.7601313,2029-06-30,Brigade Citrine,2024-12-23,Residential/Group Housing,Hosakote,18464,2505,15959,3642433360,Budigere Cross,Apartment,0,1,0,1,0,1,0,1,0,0,11.33,17.06251297341417,22.254511702066697,24.6743862658672,6.336261057248545,Whitefield (Kadugodi),6.177449744835867,Old Madras Road,4.517453798767967
PRM/KA/RERA/1251/446/PR/200123/005644,3.0,2.0,284,0.0,0.0,0.0,0.0,44.0,48.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.54545454545455,140.4,111.1996875,0.0,0.0,0.0,137025840,Bengaluru Urban,13.031018193580003,77.7607932745601,2027-01-03,Ruchira Park East,2023-01-04,Residential/Group Housing,Bengaluru East,16895,2415,14480,2155665761,Kannamangala - Whitefield Hoskote Road,Apartment,0,0,0,1,0,1,1,0,0,0,10.3,19.38492466771586,21.52128086248273,24.60200432851037,3.914716913995222,Whitefield (Kadugodi),5.319982256297306,Old Madras Road,3.997262149212868
PRM/KA/RERA/1251/310/PR/171224/007304,2.24,1.0,25,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5566774775,0.0,260.13,0.0,600000000,Bengaluru Urban,12.991669195058943,77.57529632223692,2029-03-31,GM GOVIANU,2024-05-01,Mixed Development,Bengaluru South,2397,668,1729,1130000000,Sheshadripuram,Apartment,0,0,0,0,0,1,0,1,0,0,16.0,26.8770315689683,1.7425041671371757,6.070603392523639,0.5131278697670731,Mantri Square Sampige Road,2.318708457116802,Mekhri Circle Underpass,4.914442162902122
PRM/KA/RERA/1251/446/PR/060225/007487,2.246,13.0,1594,0.0,155.0,0.0,0.0,136.0,0.0,1000.0,0.0,303.0,0.0,0.0,42.901548387096774,0.0,0.0,76.68735294117648,0.0,112.71007,0.0,149.89471947194718,0.0,5604400000,Bengaluru Urban,12.885231,77.703123,2031-12-25,BIRLA EVARA,2025-05-25,Residential/Group Housing,Bengaluru East,104053,17386,86667,27780592033,Chikkakannalli,Apartment,0,1,0,1,0,1,0,1,0,0,16.47,34.59255131969822,17.61078810869187,24.262274923959435,10.306830947458003,Kundalahalli,5.342376980920569,Outer Ring Road,6.584531143052704
PRM/KA/RERA/1251/446/PR/151223/006487,3.0,5.0,772,0.0,0.0,0.0,0.0,269.0,0.0,503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.28970260223049,0.0,100.19866799204772,0.0,0.0,0.0,810000000,Bengaluru Urban,12.92590041,77.72701832,2030-02-28,ORCHID LIFE,2024-03-01,Residential/Group Housing,Bengaluru East,29238,3727,25511,7410087431,Gunjur Palya,Apartment,0,0,0,1,0,1,0,0,0,0,11.75,30.175372790092347,17.909470349718365,23.830305344133397,5.618185907847462,Nallurahalli,3.792872137755536,Outer Ring Road,5.9958932238193015
PRM/KA/RERA/1251/446/PR/220223/005743,2.25,2.0,397,0.0,0.0,0.0,0.0,163.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.82075740607362,0.0,74.11009323126984,0.0,0.0,0.0,734000000,Bengaluru Urban,12.92028214073455,77.73091899910033,2026-12-31,Saritha Serene,2023-02-01,Residential/Group Housing,Bengaluru East,14769,7268,7501,1800000000,Gunjur Palya,Apartment,0,0,0,1,0,1,0,0,0,0,9.8,30.828989758671796,18.51221316790465,24.50145862287222,6.269249246322897,Nallurahalli,4.478194905045002,Outer Ring Road Underpass,3.912388774811773
