rera_ids,bhk_type,bhk_count,mean_carpet_area,far,number_of_towers,total_unit_count,cost_of_land_inr,district,latitude,longitude,project_name,project_start_date,project_type,taluk,total_area_of_land_sqm,total_covered_area_sqm,total_open_area_sqm,total_project_cost_inr,area,product_type,avg_price,airport_distance_kms,ksr_jn_distance_kms,yeshwantpur_jn_distance_kms,nearest_metro_dist_kms,nearest_metro_station,nearest_major_road_dist_kms,nearest_major_road,bhk_unit_portion,total_carpet_area
PRM/KA/RERA/1251/446/PR/190424/006813,1.0,100.0,40.91,2.25,2.0,825,385000000,Bengaluru Urban,12.880757277999384,77.71537779886503,TRIFECTA VANTO PHASE-1,2024-03-01,Residential/Group Housing,Bengaluru East,36678,3359,33319,4646247743,Sarjapur Road,Apartment,10.665,35.099574329058946,18.98705723803977,25.596668527059606,10.657629286443807,Nallurahalli,6.416201686812296,Outer Ring Road,0.12121212121212122,4090.9999999999995
PRM/KA/RERA/1251/310/PR/311222/005573,1.0,61.0,47.690229508196715,1.97,4.0,448,841734400,Bengaluru Urban,12.857235568045002,77.60635371459419,NANDI MERAKI,2022-08-18,Residential/Group Housing,Bengaluru South,32374,12692,17406,4514073251,Begur Road,Apartment,11.0,39.216302966128104,13.783303572710933,20.529644482827724,5.822829952769741,Yelachenahalli,1.6745127016586658,NICE Peripheral Ring Road,0.13616071428571427,2909.104
PRM/KA/RERA/1250/303/PR/080525/007730,1.0,138.0,48.899202898550726,2.499,16.0,1077,972000000,Bengaluru Rural,13.206808726361915,77.65977815803362,Sattva Vasanta Skye,2025-05-01,Residential/Group Housing,Devanahalli,64041,12814,51227,8070400000,Devanahalli,Apartment,11.06,5.138202722686919,27.24383674495507,23.96402767828861,22.97241080516701,Krishnarajapura,10.02470524511096,Bellary Road,0.12813370473537605,6748.09
PRM/KA/RERA/1250/303/PR/101224/007284,1.0,216.0,37.96,0.67,3.0,1044,740000000,Bengaluru Rural,13.206154,77.614342,EMBASSY VERDE,2025-01-01,Residential/Group Housing,Devanahalli,38570,5809,32761,5403900000,Navarathna Agrahara,Apartment,8.69,10.00964982701876,25.830191439761865,21.478133944815724,21.078277312674427,Peenya,8.579070011514375,Bellary Road,0.20689655172413793,8199.36
PRM/KA/RERA/1250/304/PR/290425/007702,1.0,13.0,34.28,2.49,3.0,259,35523780,Bengaluru Rural,12.98138,77.793297,ANAHATA,2025-04-01,Residential/Group Housing,Hosakote,11068,3519,7549,1333744835,Samethanahalli,Apartment,7.0,25.744844499720024,24.19934220428299,28.612193321455496,4.151060244448042,Whitefield (Kadugodi),9.942475384361304,Old Madras Road,0.05019305019305019,445.64
PRM/KA/RERA/1250/304/PR/180724/006943,1.0,98.0,28.597857142857144,2.73,1.0,1102,630000000,Bengaluru Rural,13.0256875,77.7849375,SOWPARNIKA EUPHORIA IN THE EAST,2024-06-01,Residential/Group Housing,Hosakote,32241,9721,22520,7390773820,Whitefield,Apartment,7.9750000000000005,20.873311635324363,23.907159386140766,27.22196550065705,4.42111067663205,Whitefield (Kadugodi),7.92118235664822,Old Madras Road,0.08892921960072596,2802.59
PRM/KA/RERA/1250/304/PR/290125/007454,1.0,70.0,28.925600000000003,2.5,1.0,725,552707850,Bengaluru Rural,12.985682936143302,77.79411971569061,Sowparnika Rhythm of Rain,2025-01-16,Residential/Group Housing,Hosakote,24796,6922,17874,5395049232,Whitefield,Apartment,9.3,25.335897755438175,24.303180623963783,28.616698281025148,4.078895240373899,Whitefield (Kadugodi),9.81621042017795,Old Madras Road,0.09655172413793103,2024.7920000000001
PRM/KA/RERA/1251/309/PR/070325/007559,1.0,116.0,41.48844827586207,3.23,12.0,1124,10375967940,Bengaluru Urban,13.0963417,77.59289919999999,Brigade Eternia,2025-03-17,Residential/Group Housing,Bengaluru North,49622,12705,36917,19948026580,Yelahanka,Apartment,13.5,16.65545987731864,13.461133421437621,9.839037779148532,9.334325049777762,Yeshwantpur,0.5394682984497815,Bellary Road,0.10320284697508897,4812.66
PRM/KA/RERA/1250/303/PR/090125/007369,1.0,146.0,38.578835616438354,2.456,2.0,316,172062000,Bengaluru Rural,13.208756,77.668842,IMPACT SANVI AERO GARDENS,2024-11-20,Residential/Group Housing,Devanahalli,10622,3660,6962,1000731807,Udayagiri,Apartment,9.58,4.234194055322681,27.807954870125602,24.709992472178715,23.125585427481372,Krishnarajapura,10.746304244272633,Bellary Road,0.4620253164556962,5632.509999999999
PRM/KA/RERA/1251/446/PR/220923/006280,1.0,28.0,39.86,2.249,1.0,168,239933584,Bengaluru Urban,12.891308,77.709974,PSR VANASREE PHASE-1,2023-09-01,Residential/Group Housing,Bengaluru East,6573,1228,5344,850434014,Kodathi,Apartment,9.74,33.92088005234376,17.85954549361187,24.4047984340054,9.565030427700401,Kundalahalli,5.105523741421961,Outer Ring Road,0.16666666666666666,1116.08
PRM/KA/RERA/1251/308/PR/230125/007420,1.0,76.0,44.62,2.7404,3.0,480,1749261535,Bengaluru Urban,12.79128169469662,77.74044010229798,Sobha Madison Heights-Townpark Phase 1 W5 to 7,2025-08-01,Residential/Group Housing,Anekal,11496,6246,5250,5200301613,Attibele,Apartment,11.51,45.13657899046781,27.60018821117096,34.52245935345318,20.575570607045325,Nallurahalli,11.655683031086314,Hosur Road,0.15833333333333333,3391.12
PRM/KA/RERA/1251/446/PR/200923/006269,1.0,225.0,40.48030472,2.99,6.0,604,1460175786,Bengaluru Urban,12.93122639,77.713435,"Sobha Neopolis Phase 1 - W 14, 15, 16, 17, 18 &19",2023-10-01,Residential/Group Housing,Bengaluru East,21443,4599,16845,7012836389,Balagere,Apartment,11.118456790123457,29.512525312872143,16.325283346386087,22.254639303463968,5.134825836066569,Kundalahalli,2.190477223599745,Outer Ring Road Underpass,0.37251655629139074,9108.068562
PRM/KA/RERA/1251/309/PR/050325/007545,1.0,121.0,40.29090909090909,2.99,5.0,1017,474960278,Bengaluru Urban,12.914917,77.7365,ABHEE AARIA,2025-02-07,Residential/Group Housing,Bengaluru North,49321,5321,44000,7913857672,Varthur,Apartment,10.04,31.477568034100535,19.285891856579433,25.321188089255063,6.943849112187245,Nallurahalli,5.316494917481506,Outer Ring Road Underpass,0.11897738446411013,4875.2
PRM/KA/RERA/1251/446/PR/280222/004736,1.0,169.0,34.41266272189349,2.39027375,8.0,976,858914069,Bengaluru Urban,12.892460698272378,77.7056075300935,GODREJ PARK RETREAT,2022-02-28,Residential/Group Housing,Bengaluru East,29424,11065,18359,4528716729,Chikkakannalli,Apartment,17.22,33.79110014265667,17.390539166451028,23.95547482838079,9.479990904312126,Kundalahalli,4.746710218429705,Outer Ring Road,0.17315573770491804,5815.74
PRM/KA/RERA/1251/309/PR/180524/006894,1.0,35.0,30.81,3.25,6.0,379,1249944092,Bengaluru Urban,13.1103641,77.6067077,Brigade Insignia,2024-05-24,Residential/Group Housing,Bengaluru North,23801,11232,12569,5151867935,Yelahanka,Apartment,21.39,14.504193499099223,15.305585577632481,11.991850632052234,11.438381265907799,Yeshwantpur,0.2331577195961028,Bellary Road,0.09234828496042216,1078.35
PRM/KA/RERA/1251/308/PR/120123/005613,1.0,69.0,31.770000000000003,0.83,1.0,662,1562517450,Bengaluru Urban,12.804859864618368,77.69967913627625,Cielo at Brigade Valencia,2023-02-01,Residential/Group Housing,Anekal,32229,4159,28070,4309462359,Bommasandra,Apartment,10.15,43.48815921543338,23.63417396922317,30.602154893203657,17.307764134331972,Yelachenahalli,7.474499501402385,Hosur Road,0.1042296072507553,2192.13
PRM/KA/RERA/1251/310/PR/210325/007603,1.0,204.0,40.58,2.49,14.0,2130,5968313078,Bengaluru Urban,12.8741008,77.62312969999999,Prestige Southern Star,2025-04-01,Residential/Group Housing,Bengaluru South,119852,54536,65316,26559395280,Akshayanagar,Apartment,11.4,36.94066732342887,12.716172444259048,19.648245149045852,6.244862566945583,Yelachenahalli,2.4538362005375562,Hosur Road,0.09577464788732394,8278.32
PRM/KA/RERA/1251/309/PR/200524/006911,1.0,1.0,54.153,1.76,1.0,112,42600000,Bengaluru Urban,13.10484,77.60889,SHASHANK AKSHAYA,2024-05-20,Residential/Group Housing,Bengaluru North,5597,2737,2860,299900000,Kogilu,Apartment,5.7,14.748934287424042,14.781274292092768,11.70151072136189,11.063787738988385,Yeshwantpur,0.758214247655735,Bellary Road,0.008928571428571428,54.153
PRM/KA/RERA/1250/303/PR/110522/004869,1.0,297.0,34.64518518518519,2.361,9.0,1001,273287989,Bengaluru Rural,13.21058683636832,77.6728732177615,"Aeropolis, a project of Sattva Group",2021-09-15,Residential/Group Housing,Devanahalli,41783,9402,32382,2732530958,Devanahalli,Apartment,10.25,3.885663156644182,28.16481589165894,25.13296837956862,23.314115102950726,Krishnarajapura,11.169648389339429,Bellary Road,0.2967032967032967,10289.620000000003
